Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
10,3.24031102335592,0.451962244833817,3.27167929339615,3.24031102335592,0.451962244833817,7.94045077691803
10.018579,3.23539923588409,0.449660451971039,3.26649701325842,3.23539923588409,0.449660451971039,7.91236519479438
10.037192,3.23443698226062,0.453590878181776,3.26608745703248,3.23443698226062,0.453590878181776,7.98298256081038
10.05584,3.23131488181788,0.453352324748343,3.26296248765021,3.23131488181788,0.453352324748343,7.98644795775502
10.074522,3.23945738810015,0.453041232502387,3.27098311332601,3.23945738810015,0.453041232502387,7.96123513375315
10.093239,3.23251783853756,0.455835733313486,3.26449962356086,3.23251783853756,0.455835733313486,8.02667847390512
10.111991,3.23589273430648,0.454248146807148,3.26762041351427,3.23589273430648,0.454248146807148,7.99085070282954
10.130778,3.2330231591853,0.45633139214511,3.26506923162214,3.2330231591853,0.45633139214511,8.03405294079013
10.149599,3.23934220803878,0.459233185762401,3.27173242483047,3.23934220803878,0.459233185762401,8.06890522378459
10.168456,3.23996546864078,0.461354843178363,3.27264793849091,3.23996546864078,0.461354843178363,8.10415072975989
10.187348,3.23110157472425,0.45978152025266,3.26365078287359,3.23110157472425,0.45978152025266,8.09874283465678
10.206274,3.24114266587931,0.464663761478521,3.27428132447635,3.24114266587931,0.464663761478521,8.15857041354435
10.225236,3.2400492142598,0.457276128051423,3.2721583653777,3.2400492142598,0.457276128051423,8.03323855702637
10.244233,3.2395570231869,0.470175976335866,3.27349891632836,3.2395570231869,0.470175976335866,8.25801240976662
10.263266,3.23261447660812,0.468365643530323,3.26636843151779,3.23261447660812,0.468365643530323,8.24407779182327
10.282333,3.23695003472059,0.461639694996609,3.26970285121969,3.23695003472059,0.461639694996609,8.11654144180952
10.301437,3.24244089019086,0.466122608780849,3.27577368155957,3.24244089019086,0.466122608780849,8.18060610378394
10.320575,3.23099751556975,0.468786474463554,3.26482858727037,3.23099751556975,0.468786474463554,8.2554557469714
10.33975,3.23757643421259,0.47771500974901,3.27263086795749,3.23757643421259,0.47771500974901,8.39361449362689
10.358959,3.24014738622804,0.465679528326123,3.27344046953392,3.24014738622804,0.465679528326123,8.17864188704473
10.378205,3.23035739591622,0.472627484977692,3.26474894056296,3.23035739591622,0.472627484977692,8.32377937513763
10.397486,3.2407381354028,0.466927799678783,3.27420299193054,3.2407381354028,0.466927799678783,8.19879278593814
10.416803,3.23843396572479,0.460175585813893,3.27096562503172,3.23843396572479,0.460175585813893,8.08748240177749
10.436157,3.23460112139101,0.480438097057299,3.27008641775841,3.23460112139101,0.480438097057299,8.44842485807212
10.455545,3.23313169502675,0.47266664605681,3.26749970400628,3.23313169502675,0.47266664605681,8.31741628939166
10.47497,3.24014493913267,0.470093211746156,3.27406885302018,3.24014493913267,0.470093211746156,8.25510131698127
10.494432,3.2366901709991,0.473716474209011,3.27117265838708,3.2366901709991,0.473716474209011,8.32659482216116
10.513929,3.23368033105302,0.466365845894268,3.2671372156149,3.23368033105302,0.466365845894268,8.20668951623181
10.533462,3.23947459667095,0.48182886637055,3.27511140557758,3.23947459667095,0.48182886637055,8.45996533806454
10.553032,3.24155862733568,0.476417727154331,3.2763815689265,3.24155862733568,0.476417727154331,8.36100589123316
10.572638,3.23373619864812,0.476333642930701,3.26863022409003,3.23373619864812,0.476333642930701,8.37948611851273
10.592281,3.23222534964053,0.478742377435855,3.26748756306918,3.23222534964053,0.478742377435855,8.42513344544541
10.61196,3.22916743894905,0.477819721733272,3.2643275012238,3.22916743894905,0.477819721733272,8.41697764188493
10.631675,3.23949225593036,0.480049147711771,3.27486751800001,3.23949225593036,0.480049147711771,8.42912144069621
10.651428,3.24114079288735,0.496341093392337,3.27892484212559,3.24114079288735,0.496341093392337,8.70650942717103
10.671217,3.23588047686552,0.476649795767514,3.27079768380202,3.23588047686552,0.476649795767514,8.37949127955652
10.691042,3.23905234972611,0.488171394975347,3.2756329823621,3.23905234972611,0.488171394975347,8.57078525745323
10.710905,3.239817434326,0.480911822224204,3.27531573875218,3.239817434326,0.480911822224204,8.44321553174147
10.730804,3.24107562314144,0.484490226600447,3.2770874224825,3.24107562314144,0.484490226600447,8.50187146886767
10.750741,3.23780627492016,0.488126742908861,3.2743941716072,3.23780627492016,0.488126742908861,8.57326212782064
10.770714,3.23272219040875,0.486140183226982,3.26907097477389,3.23272219040875,0.486140183226982,8.55211699768023
10.790725,3.23060340554873,0.486971778970182,3.26709961241717,3.23060340554873,0.486971778970182,8.57206436276382
10.810772,3.23695228292401,0.487461395525622,3.27345057913736,3.23695228292401,0.487461395525622,8.56397485712169
